"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","0","The Internet Guinea Pig Website: As a user, I can log into the secure area","0","0","","0"
"1","","0","Dashboard and Logout Functionality: Successful logout from dashboard","0","3","","0"
"0","","6","","0","0","","0"
"0","","0","Login Functionality: Unsuccessful login with invalid credentials","4","0","","0"
"0","","0","Login Functionality: Successful login with valid credentials","4","0","","0"
"0","","1","Login Functionality: Login page should be accessible","1","0","","0"
"0","","0","Login Functionality: Unsuccessful login with invalid password","4","0","","0"
